"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"""
7.977523460E-1,2.292095572E-1,3.448867798E-2,3.360128403E-2
8.077702630E-1,2.304512709E-1,1.102447510E-3,6.515854597E-2
8.177915130E-1,2.176803797E-1,-6.223487854E-2,7.596349716E-2
8.278127630E-1,2.125738412E-1,-6.090164185E-2,5.646300316E-2
8.378244290E-1,1.423469186E-1,-3.842353821E-2,4.175448418E-2
8.478456790E-1,8.075927198E-2,-1.395702362E-2,-2.911454439E-2
8.578669290E-1,3.167610615E-2,3.050804138E-3,-1.434399486E-1
8.678957840E-1,3.005089611E-2,2.207279205E-2,-2.069923878E-1
8.779170340E-1,-1.392085198E-2,3.362846375E-2,-1.644037962E-1
8.879382840E-1,-6.183723360E-2,4.729175568E-2,-7.361012697E-2
8.979473460E-1,-4.317033291E-2,1.832103729E-2,-3.170287609E-2
9.079685960E-1,6.008899212E-2,-3.369426727E-2,1.436001062E-2
9.179898460E-1,1.195262596E-1,-5.888271332E-2,1.789975166E-2
9.280008360E-1,1.263612658E-1,-5.065631866E-2,-3.243762255E-2
9.380220860E-1,1.352793276E-1,-9.595870972E-3,-2.062946558E-2
9.480433360E-1,1.114597544E-1,-1.870536804E-2,-2.122223377E-2
9.580712520E-1,7.194601744E-2,-4.411411285E-2,-5.039632320E-3
9.680925020E-1,9.199650586E-2,-7.135295868E-2,5.655777454E-2
9.781137520E-1,9.282776713E-2,-7.218074799E-2,5.178016424E-2
9.881517210E-1,4.653321579E-2,-1.884937286E-2,3.055757284E-2
9.981729190E-1,7.719743997E-3,5.707836151E-2,-3.091663122E-2
1.008194169E0,-3.540872782E-2,8.464050293E-2,-7.974052429E-2
1.018209065E0,-8.014610410E-2,1.093492508E-1,-6.927448511E-2
1.028230315E0,-1.193569750E-1,6.533145905E-2,-3.110814095E-2
1.038251565E0,-1.369443536E-1,2.671623230E-2,-8.106535673E-2
1.048253909E0,-1.170232445E-1,4.523468018E-2,-1.350419521E-1
1.058274794E0,-9.999644011E-2,4.222679138E-2,-9.658378363E-2
1.068295679E0,-3.373123333E-2,3.918266296E-2,-9.489244223E-2
1.078319013E0,-3.515917808E-3,5.524635315E-3,-1.479067206E-1
1.088339898E0,3.777750209E-2,-2.523803711E-2,-1.131213903E-1
1.098360784E0,5.464670435E-2,-5.075263977E-2,-3.337502480E-3
1.108377346E0,6.651656330E-2,-3.815364838E-2,-1.761549711E-2
1.118398231E0,9.715209156E-2,-2.346134186E-2,-1.094806194E-2
1.128419117E0,1.086939052E-1,-4.296302795E-3,4.043394327E-2
1.138433075E0,8.052671701E-2,1.223564148E-2,4.425561428E-2
1.148453961E0,5.059400573E-2,2.142238617E-2,2.677339315E-2
1.158474846E0,6.608861685E-2,1.629257202E-2,1.866465807E-2
1.168509429E0,5.580788478E-2,1.122570038E-2,4.110842943E-2
1.178530367E0,2.928151563E-2,-2.667999268E-2,6.116068363E-2
1.188551200E0,6.947836280E-2,-7.802963257E-2,1.001931429E-1
1.198542659E0,9.958291054E-2,-6.960582733E-2,2.613884211E-2
1.208563544E0,8.908963203E-2,-7.184028625E-3,-1.315361261E-1
1.218584429E0,5.035848916E-2,7.296466827E-2,-1.224105954E-1
1.228607815E0,-5.135168508E-2,1.046266556E-1,-7.874590158E-2
1.238628700E0,-1.138585806E-1,7.215595245E-2,-1.028543711E-2
1.248649586E0,-1.635075510E-1,2.547264099E-3,6.636697054E-2
1.258712242E0,-1.583220214E-1,-3.762149811E-2,1.137299538E-1
1.268733127E0,-4.735064879E-2,-4.178524017E-2,6.161928177E-2
1.278754013E0,1.161061823E-1,-4.347515106E-2,-3.858453035E-2
1.288715836E0,2.255228758E-1,-3.099346161E-2,-4.982089996E-2
1.298736721E0,1.968110502E-1,1.068115234E-4,-2.561038733E-2
1.308757606E0,1.215793043E-1,-9.313583374E-3,-8.677661419E-3
1.318790002E0,3.350232542E-2,-3.036975861E-2,1.043084860E-1
1.328810888E0,-6.017065048E-2,-4.166507721E-2,1.164833903E-1
1.338831773E0,-6.267540902E-2,-3.389072418E-2,1.288864017E-1
1.348845575E0,-4.638015479E-2,4.365921021E-3,7.050257921E-2
1.358866461E0,1.168027520E-4,3.257369995E-2,-3.865396976E-2
1.368887346E0,-3.800172359E-3,2.025318146E-2,-4.744410515E-2
1.378891252E0,-4.771608114E-2,8.130073547E-3,-2.032160759E-3
1.388912138E0,-1.120845601E-1,-6.146430969E-3,2.601623535E-3
1.398933023E0,-1.285228133E-1,-3.429794312E-2,3.080064058E-2
1.408952034E0,-1.122079119E-1,-1.488208771E-2,1.389485598E-2
1.418972919E0,-1.082895324E-1,7.248020172E-2,-3.809404373E-2
1.428993752E0,-1.023947150E-1,8.536338806E-2,-2.368009090E-2
1.439023075E0,-7.571509480E-2,5.090618134E-2,-2.636933327E-2
1.449043961E0,-5.910120159E-2,-8.858680725E-3,-4.770576954E-2
1.459064846E0,-4.289543629E-2,-6.390571594E-3,-2.607089281E-2
1.469086304E0,-2.231148817E-2,2.426433563E-2,-1.916068792E-2
1.479107190E0,2.866364643E-2,2.384185791E-4,-4.316341877E-2
1.489128075E0,5.532394722E-2,-3.278446198E-2,-1.949071884E-2
1.499116461E0,5.549302697E-2,-6.522083282E-2,3.002041578E-2
1.509137346E0,7.004582137E-2,-3.823471069E-2,5.069440603E-2
1.519158231E0,9.391690046E-2,-3.054714203E-2,1.908576488E-2
1.529198700E0,1.106032431E-1,-2.062988281E-2,3.042852879E-2
1.539219586E0,9.191726148E-2,-3.201770782E-2,5.383181572E-2
1.549240471E0,5.724638700E-2,-2.437591553E-2,-2.434438467E-2
1.559261721E0,4.686243087E-2,-1.924228668E-2,-5.672663450E-2
1.569282398E0,7.200136781E-2,-7.142066956E-3,-3.216016293E-2
1.579303023E0,4.280162230E-2,3.065204620E-2,-8.003652096E-3
1.589297867E0,-9.422499686E-3,1.838684082E-2,-2.417832613E-2
1.599318544E0,-2.804166637E-2,-5.449295044E-3,-5.660784245E-2
1.609339169E0,-4.863590747E-2,-1.009464264E-2,1.000642776E-2
1.619371617E0,-3.819967806E-2,1.121425629E-2,4.707068205E-2
1.629392294E0,-3.057204187E-2,2.744102478E-2,-4.380780458E-2
1.639412971E0,-8.872546256E-3,-1.075172424E-2,-4.606163502E-2
1.649439377E0,2.925869823E-2,-3.416252136E-2,2.019351721E-2
1.659460002E0,2.670563012E-2,-2.187919617E-2,-4.894703627E-2
1.669480679E0,5.421049893E-3,-2.769470215E-3,-3.482371569E-2
1.679475627E0,1.750595495E-2,4.246711731E-3,4.023277760E-2
1.689496304E0,4.806563631E-2,1.115131378E-2,1.991140842E-2
1.699516929E0,4.995698109E-2,-7.922172546E-3,-6.805837154E-3
1.709556877E0,2.488061786E-3,-3.125190735E-3,9.390771389E-3
1.719577554E0,-3.252999112E-2,2.041053772E-2,2.281951904E-2
1.729598179E0,-6.000735238E-2,4.118156433E-2,-4.190504551E-3
