"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"""
8.713147430E-1,1.534448862E-1,2.816200256E-2,3.692042828E-2
8.813134430E-1,1.123344898E-1,-4.590415955E-2,6.352567673E-2
8.913121090E-1,9.534001350E-2,-6.734180450E-2,4.403436184E-2
9.013108420E-1,1.001627445E-1,-6.724452972E-2,5.109626055E-2
9.113095750E-1,1.386712790E-1,-1.446056366E-2,5.098760128E-2
9.213083080E-1,2.004106045E-1,7.185554504E-2,2.615332603E-3
9.313070410E-1,1.941586137E-1,6.729412079E-2,-3.803932667E-2
9.413057740E-1,1.517469883E-1,4.369354248E-2,-5.141353607E-2
9.513045070E-1,1.433938742E-1,4.411029816E-2,-5.201327801E-2
9.613032400E-1,6.685709953E-2,-1.515769958E-2,-2.202795744E-1
9.713019400E-1,4.902851582E-2,-3.587150574E-2,-1.462769508E-1
9.813006730E-1,5.601888895E-2,-8.693695068E-3,-3.337633610E-2
9.912994390E-1,5.654513836E-2,4.702472687E-2,2.306449413E-2
1.001298139E0,1.209855080E-2,8.580112457E-2,3.719687462E-2
1.011296905E0,-8.833807707E-2,7.406806946E-2,1.483195424E-1
1.021295671E0,-1.602002680E-1,3.074264526E-2,1.796100736E-1
1.031294371E0,-2.051634789E-1,1.333999634E-2,1.201572418E-1
1.041293104E0,-2.258913815E-1,-1.624011993E-2,2.826809883E-3
1.051291870E0,-2.180632055E-1,-1.705169678E-2,-4.810094833E-4
1.061290636E0,-1.796796620E-1,2.039527893E-2,4.939901829E-2
1.071289402E0,-7.386690378E-2,4.824352264E-2,3.222185373E-2
1.081288168E0,-2.463018894E-2,5.229663849E-2,-1.803851128E-2
1.091286934E0,-5.598714948E-2,2.783107758E-2,7.001399994E-3
1.101285700E0,-9.269824624E-2,2.496242523E-2,-1.594996452E-2
1.111284366E0,-9.820476174E-2,1.020050049E-2,-1.383337975E-1
1.121283166E0,-3.197109699E-2,2.924442291E-2,-1.266314983E-1
1.131281932E0,3.573340178E-2,7.765769958E-3,-7.299351692E-2
1.141280632E0,7.760328054E-2,1.030826569E-2,-1.221382618E-2
1.151279398E0,8.868432045E-2,3.445434570E-2,1.670801640E-2
1.161278164E0,2.614760399E-2,5.383777618E-2,1.626360416E-2
1.171276930E0,-1.478794217E-2,2.282524109E-2,-1.379227638E-2
1.181275763E0,-9.859144688E-3,1.333713531E-2,-1.778399944E-2
1.191274596E0,-9.691953659E-3,4.459953308E-2,-4.520261288E-2
